Russian,English
и,And
в,V
быть,be
не,Not
что,What
я,I
это,This
а,A
мы,We
на,on
тот,That
он,He
они,They
вы,You
как,How
у,at
этот,this
вот,Here
с,With
да,Yes
так,So
весь,the
но,But
там,there
такой,such
ну,Well
который,which
все,All
мочь,be
по,By
говорить,speak
бы,would
нет,No
к,To
же,same
сейчас,Now
она,she
еще,more
очень,Very
о,O
уже,already
год,year
кто,Who
то,That
наш,our
один,one
потому,That's
какой,Which
свой,mine
когда,When
какой-то,some
чтобы,to
надо,necessary
другой,another
думать,think
хотеть,want
тоже,Same
от,from
просто,Just
вопрос,question
конечно,Certainly
считать,count
самый,most
много,a
страна,a
Россия,Russia
можно,Can
ты,You
хороший,good
себя,myself
время,time
вообще,at
почему,Why
даже,even
работать,work
идти,go
что-то,something
давать,give
чем,how
жить,live
ничто,nothing
потом,Then
до,before
понимать,understand
тогда,Then
хорошо,Fine
иметь,have
мой,my
два,two
поэтому,That's
ни,neither
сам,myself
первый,first
ваш,your
где,Where
партия,the
видеть,see
деньга,money
во,in
общий,general
государство,state
пойти,go
нужно,need
каждый,every
всё-таки,after
стать,become
смотреть,look
сегодня,Today
её,her
его,his
ребёнок,child
день,day
тут,here
наверное,Maybe
Путин,Putin
работа,Job
об,about
отношение,attitude
сторона,side
именно,exactly
никто,nobody
как-то,somehow
война,war
кто-то,somebody
новый,new
при,at
народ,people
всегда,Always
муж,husband
ситуация,situation
например,For
пока,Bye
выборы,elections
Москва,Moscow
хотя,Although
ходить,walk
мнение,opinion
нужный,required
ведь,after
про,about
со,co
помнить,remember
место,place
прийти,come
равный,equal
жена,wife
никакой,no
туда,there
второй,second
ранний,early
Америка,America
дом,house
программа,program
теперь,Now
мир,world
дать,give
друг,Friend
право,right
совершенно,absolutely
по-моему,In
опять,again
город,city
происходить,take
уровень,level
оно,it
три,three
женщина,woman
принимать,accept
против,against
точка,dot
принцип,principle
вид,view
посмотреть,look
русский,Russian
их,their
момент,moment
стоять,stand
важный,important
система,system
под,under
информация,information
российский,Russian
вещь,thing
начинать,start
высокий,high
спасибо,Thank
решение,solution
остаться,stay
приходить,come
сидеть,sit
существовать,exist
нравиться,like
общество,society
интересный,interesting
семья,family
Чечня,Chechnya
повод,occasion
совсем,at
уж,already
часть,Part
где-то,somewhere
между,between
событие,event
армия,army
достаточно,enough
начать,begin
конец,end
относиться,relate
решать,decide
тема,subject
государственный,state
всякий,any
деньги,money
квартира,apartment
процент,percent
свое,his
никогда,never
история,story
хотеться,want
понятно,It's
читать,read
группа,group
понять,understand
писать,write
брать,take
некоторый,some
написать,write
экономический,economic
простой,simple
кстати,By
экономика,economy
единый,single
интерес,interest
основной,basic
тысяча,thousand
идея,idea
проводить,conduct
